audit_ts,operation,username,before,after
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 32.38, 'order_id': 10248, 'ship_via': 3, 'ship_city': 'Reims', 'ship_name': 'Vins et alcools Chevalier', 'is_shipped': True, 'order_date': '1996-07-04', 'customer_id': 'VINET                                                                                                                                                                                                                                                           ', 'employee_id': 5, 'ship_region': None, 'total_price': 200.38, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': ""59 rue de l'Abbaye"", 'ship_country': 'France', 'shipped_date': '1996-07-16', 'required_date': '1996-08-01', 'total_discount': 0, 'ship_postal_code': '51100', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 32.38, 'order_id': 10248, 'ship_via': 3, 'ship_city': 'Reims', 'ship_name': 'Vins et alcools Chevalier', 'is_shipped': True, 'order_date': '1996-07-04', 'customer_id': 'VINET                                                                                                                                                                                                                                                           ', 'employee_id': 5, 'ship_region': None, 'total_price': 206.38, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': ""59 rue de l'Abbaye"", 'ship_country': 'France', 'shipped_date': '1996-07-16', 'required_date': '1996-08-01', 'total_discount': 0, 'ship_postal_code': '51100', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 32.38, 'order_id': 10248, 'ship_via': 3, 'ship_city': 'Reims', 'ship_name': 'Vins et alcools Chevalier', 'is_shipped': True, 'order_date': '1996-07-04', 'customer_id': 'VINET                                                                                                                                                                                                                                                           ', 'employee_id': 5, 'ship_region': None, 'total_price': 130.38, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': ""59 rue de l'Abbaye"", 'ship_country': 'France', 'shipped_date': '1996-07-16', 'required_date': '1996-08-01', 'total_discount': 0, 'ship_postal_code': '51100', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 11.61, 'order_id': 10249, 'ship_via': 1, 'ship_city': 'Münster', 'ship_name': 'Toms Spezialitäten', 'is_shipped': True, 'order_date': '1996-07-05', 'customer_id': 'TOMSP                                                                                                                                                                                                                                                           ', 'employee_id': 6, 'ship_region': None, 'total_price': 1707.61, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': 'Luisenstr. 48', 'ship_country': 'Germany', 'shipped_date': '1996-07-10', 'required_date': '1996-08-16', 'total_discount': 0, 'ship_postal_code': '44087', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 11.61, 'order_id': 10249, 'ship_via': 1, 'ship_city': 'Münster', 'ship_name': 'Toms Spezialitäten', 'is_shipped': True, 'order_date': '1996-07-05', 'customer_id': 'TOMSP                                                                                                                                                                                                                                                           ', 'employee_id': 6, 'ship_region': None, 'total_price': 179.01, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': 'Luisenstr. 48', 'ship_country': 'Germany', 'shipped_date': '1996-07-10', 'required_date': '1996-08-16', 'total_discount': 0, 'ship_postal_code': '44087', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 65.83, 'order_id': 10250, 'ship_via': 2, 'ship_city': 'Rio de Janeiro', 'ship_name': 'Hanari Carnes', 'is_shipped': True, 'order_date': '1996-07-08', 'customer_id': 'HANAR                                                                                                                                                                                                                                                           ', 'employee_id': 4, 'ship_region': 'RJ', 'total_price': 1544.58, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': 'Rua do Paço, 67', 'ship_country': 'Brazil', 'shipped_date': '1996-07-12', 'required_date': '1996-08-05', 'total_discount': 5.25, 'ship_postal_code': '05454-876', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 65.83, 'order_id': 10250, 'ship_via': 2, 'ship_city': 'Rio de Janeiro', 'ship_name': 'Hanari Carnes', 'is_shipped': True, 'order_date': '1996-07-08', 'customer_id': 'HANAR                                                                                                                                                                                                                                                           ', 'employee_id': 4, 'ship_region': 'RJ', 'total_price': 142.83, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': 'Rua do Paço, 67', 'ship_country': 'Brazil', 'shipped_date': '1996-07-12', 'required_date': '1996-08-05', 'total_discount': 0, 'ship_postal_code': '05454-876', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 65.83, 'order_id': 10250, 'ship_via': 2, 'ship_city': 'Rio de Janeiro', 'ship_name': 'Hanari Carnes', 'is_shipped': True, 'order_date': '1996-07-08', 'customer_id': 'HANAR                                                                                                                                                                                                                                                           ', 'employee_id': 4, 'ship_region': 'RJ', 'total_price': 315.58, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': 'Rua do Paço, 67', 'ship_country': 'Brazil', 'shipped_date': '1996-07-12', 'required_date': '1996-08-05', 'total_discount': 2.25, 'ship_postal_code': '05454-876', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 41.34, 'order_id': 10251, 'ship_via': 1, 'ship_city': 'Lyon', 'ship_name': 'Victuailles en stock', 'is_shipped': True, 'order_date': '1996-07-08', 'customer_id': 'VICTE                                                                                                                                                                                                                                                           ', 'employee_id': 3, 'ship_region': None, 'total_price': 377.34, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': '2, rue du Commerce', 'ship_country': 'France', 'shipped_date': '1996-07-15', 'required_date': '1996-08-05', 'total_discount': 0, 'ship_postal_code': '69004', 'is_shipped_on_time': True}"
2019-08-22 03:00:46.995782+00:00,INSERT,data_pipeline,,"{'freight': 41.34, 'order_id': 10251, 'ship_via': 1, 'ship_city': 'Lyon', 'ship_name': 'Victuailles en stock', 'is_shipped': True, 'order_date': '1996-07-08', 'customer_id': 'VICTE                                                                                                                                                                                                                                                           ', 'employee_id': 3, 'ship_region': None, 'total_price': 141.84, 'delivery_key': '45502607b8706d9874d408d798c3b211', 'ship_address': '2, rue du Commerce', 'ship_country': 'France', 'shipped_date': '1996-07-15', 'required_date': '1996-08-05', 'total_discount': 0.3, 'ship_postal_code': '69004', 'is_shipped_on_time': True}"
