order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,delivery_key,is_shipped,is_shipped_on_time,total_discount,total_price
10248,VINET                                                                                                                                                                                                                                                           ,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,45502607b8706d9874d408d798c3b211,True,True,0.0,200.380001068115
10248,VINET                                                                                                                                                                                                                                                           ,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,45502607b8706d9874d408d798c3b211,True,True,0.0,206.379997253418
10248,VINET                                                                                                                                                                                                                                                           ,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,45502607b8706d9874d408d798c3b211,True,True,0.0,130.380002975464
10249,TOMSP                                                                                                                                                                                                                                                           ,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,45502607b8706d9874d408d798c3b211,True,True,0.0,1707.61006069183
10249,TOMSP                                                                                                                                                                                                                                                           ,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,45502607b8706d9874d408d798c3b211,True,True,0.0,179.010003089905
10250,HANAR                                                                                                                                                                                                                                                           ,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,45502607b8706d9874d408d798c3b211,True,True,5.25000020861626,1544.58000183105
10250,HANAR                                                                                                                                                                                                                                                           ,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,45502607b8706d9874d408d798c3b211,True,True,0.0,142.829999923706
10250,HANAR                                                                                                                                                                                                                                                           ,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,45502607b8706d9874d408d798c3b211,True,True,2.25000008940697,315.579996109009
10251,VICTE                                                                                                                                                                                                                                                           ,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,45502607b8706d9874d408d798c3b211,True,True,0.0,377.339984893799
10251,VICTE                                                                                                                                                                                                                                                           ,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,45502607b8706d9874d408d798c3b211,True,True,0.300000004470348,141.840000152588
